,Model,RMSE,NRMSE,MAPE,Weeks ahead,Location
901,GT-FluFNP,222.0598092856967,0.5104823201970039,49.863874335897435,2,OH
902,GT-FluFNP,154.50151504111537,0.4109082846838175,61.35027463799959,2,OK
903,GT-FluFNP,180.64731121718918,0.5132025886851965,63.998767031221824,2,OR
904,GT-FluFNP,236.0620773758462,0.4112579745223801,44.75357442797271,2,PA
905,GT-FluFNP,4.211018285403187,0.3239244834925528,88.57682291666667,2,RI
906,GT-FluFNP,113.34524460690885,2.6359359210909035,35.64371256292834,2,SC
907,GT-FluFNP,25.609762298779735,0.4742548573848099,49.89085393772894,2,SD
908,GT-FluFNP,202.26844841694907,0.7519273175351268,51.751505998861816,2,TN
909,GT-FluFNP,508.5619726739309,0.5381608176443714,32.389868232537495,2,TX
910,GT-FluFNP,6405.1346226094265,0.48538455763939264,42.79822759545144,2,US
911,GT-FluFNP,6.694628443759966,0.27894285182333195,99.34862992610837,2,UT
912,GT-FluFNP,167.4990836542099,1.033944960828456,43.878177336881635,2,VA
913,GT-FluFNP,7.015473968307488,0.46769826455383245,25062517.485416673,2,VT
914,GT-FluFNP,249.31726539692352,0.4704099347111764,72.89371201714951,2,WA
915,GT-FluFNP,103.75147541119597,0.4631762295142676,70.62059911227132,2,WI
916,GT-FluFNP,61.81832616627532,0.49454660933020256,43.76159523955577,2,WV
917,GT-FluFNP,26.335709122786117,0.6752745928919518,58.446135945171854,2,WY
918,GT-FluFNP,25.752960994806017,0.6438240248701503,61.17962962962964,3,AK
919,GT-FluFNP,154.69427925212148,2.009016613663915,51.556325311777094,3,AL
920,GT-FluFNP,225.13454392133312,0.95801933583546,65.70189970504978,3,AR
921,GT-FluFNP,311.1853638910416,0.6779637557539034,70.25941831993367,3,AZ
922,GT-FluFNP,1508.1476072984367,0.8095263592584202,71.22699793978953,3,CA
923,GT-FluFNP,37.53982818287798,0.39103987690497904,53.03934143306708,3,CO
924,GT-FluFNP,66.24605397053222,0.46983017000377447,55.95917548248166,3,CT
925,GT-FluFNP,39.350375262928985,1.1242964360836851,75.37669552669553,3,DC
926,GT-FluFNP,29.058240942401635,0.7646905511158325,72.64948462613556,3,DE
927,GT-FluFNP,209.69439588760272,0.6699501466057594,27.013792178925904,3,FL
928,GT-FluFNP,119.00159396691569,2.051751620119236,48.72072456288834,3,GA
929,GT-FluFNP,57.12902385536328,0.4924915849600284,50.721475959329155,3,IA
930,GT-FluFNP,83.61145017280828,0.5929890083177891,83.14888206178529,3,ID
931,GT-FluFNP,494.6604497700081,0.7876758754299492,72.00153856621742,3,IL
932,GT-FluFNP,212.25157722225137,0.5831087286325588,46.34711923319991,3,IN
933,GT-FluFNP,85.44547598712683,0.6236896057454512,55.80698910388527,3,KS
934,GT-FluFNP,307.13869749674984,0.8168582380232708,70.86951767118379,3,KY
935,GT-FluFNP,102.62755461700657,1.4058569125617337,51.22935254725953,3,LA
936,GT-FluFNP,52.41466747644848,0.29446442402499146,88.83896328245149,3,MA
937,GT-FluFNP,174.74138481386336,1.5328191650338885,65.0359851924079,3,MD
938,GT-FluFNP,16.81700131811059,0.7311739703526343,72.04719463542992,3,ME
939,GT-FluFNP,109.92510101579772,0.4929376727165817,60.46200472131432,3,MI
940,GT-FluFNP,216.22095905192293,1.0811047952596147,74.61150758874156,3,MN
941,GT-FluFNP,239.1994432128414,0.552423656380696,60.971270127561304,3,MO
942,GT-FluFNP,169.9113362904312,4.471350955011347,64.3672313972542,3,MS
943,GT-FluFNP,20.99821579722112,0.552584626242661,55.42222222222222,3,MT
944,GT-FluFNP,215.719748516449,2.1148994952593037,52.323130658203134,3,NC
945,GT-FluFNP,12.235583353481763,0.6797546307489867,59.18412698412698,3,ND
946,GT-FluFNP,17.083486178178035,0.42708715445445083,53.71951620483836,3,NE
947,GT-FluFNP,3.1682592486516423,0.4526084640930917,74.43703703703703,3,NH
948,GT-FluFNP,281.9074214465924,1.0364243435536487,65.93524786061708,3,NJ
949,GT-FluFNP,98.62637865534083,2.7396216293150224,58.15941005553715,3,NM
950,GT-FluFNP,125.03052960510618,0.7269216837506173,70.21804446241813,3,NV
951,GT-FluFNP,325.79302985177566,0.583858476436874,55.49388290333172,3,NY
952,GT-FluFNP,279.63133741887134,0.6956003418379884,57.750037285366176,3,OH
953,GT-FluFNP,181.98928887895204,0.5400275634390269,50.248723865265724,3,OK
